,別表,,,,,
,,医薬品添加物成分の記載名称リスト,,,,
,,(医薬品添加物事典収載成分),,,,

,,,,,（注１）　成分コードは、FD申請コードを優先している。,
,,,,,（注２）　注射剤については、分量に影響する簡略名は不可とする。,
,,,,,（注３）　日本薬局方品目については、別名も可とする。,
,,,,,"（注４）　アルコールを含有するいわゆるドリンク剤に関するエタノールの記載名は、
　　　　　昭和５９年６月２８日付日薬連発第３３４号に従う。",

,,　　　　　　　　　　　　　　日 本 製 薬 団 体 連 合 会,,,,
,,　　　　　　　　　　　　　　協力：日本医薬品添加剤協会,,,,
,,                                 平 成 １４ 年 ３ 月 １３ 日,,,,
№,成分コード,添加物事典名,複数成分記載(*),"日局収載
(*)",記載名称,
,,,,,成分名,別名又は簡略名
1,120014,ＲＳＳ　Ｎｏ．１　生ゴム,,,ＲＳＳ　Ｎｏ．１　生ゴム,生ゴム
2,110560,アクリル酸・アクリル酸オクチルエステル共重合体,,,アクリル酸・アクリル酸オクチルエステル共重合体,アクリル酸・アクリル酸オクチルエステルコポリマー
3,100279,アクリル酸エステル・酢酸ビニルコポリマー,,,アクリル酸エステル・酢酸ビニルコポリマー,アクリル酸エステル・酢酸ビニル共重合体
4,109602,アクリル酸２－エチルヘキシル・ビニルピロリドン共重合体溶液,＊,,アクリル酸２－エチルヘキシル・ビニルピロリドン共重合体,アクリル酸２－エチルヘキシル・ビニルピロリドンコポリマー
,,,,,酢酸エチル,
5,122111,アクリル酸２－エチルヘキシル・メタクリル酸２－エチルヘキシル・メタクリル酸ドデシル共重合体溶液,＊,,アクリル酸２－エチルヘキシル・メタクリル酸２－エチルヘキシル・メタクリル酸ドデシル共重合体,アクリル酸２－エチルヘキシル・メタクリル酸２－エチルヘキシル・メタクリル酸ドデシルコポリマー
,,,,,酢酸エチル,
6,120032,アクリル酸エチル・メタクリル酸メチルコポリマー分散液,＊,,アクリル酸エチル・メタクリル酸メチルコポリマー,アクリル酸エチル・メタクリル酸メチル共重合体
,,,,,ポリオキシエチレンノニルフェニルエーテル,
7,109097,アクリル酸シルクフィブロイン共重合樹脂,,,アクリル酸シルクフィブロイン共重合樹脂,アクリル酸シルクフィブロインコポリマー
